user_id,amount,hour,location_change,device_change,txn_count_1h,is_fraud
861,8467.529371931116,4,1,0,0,1
3773,1255.2512938262341,4,1,0,1,1
3093,2771.303404502086,7,1,0,6,1
467,390.600636852923,10,1,1,0,1
4427,27.093200006831584,23,1,1,3,1
3445,1081.0672010385204,22,0,0,2,0
3172,2191.2226019350237,20,1,1,2,1
2920,1412.8648647522052,6,1,1,1,1
131,4423.045255289924,12,1,0,2,1
1686,1138.249438885861,16,1,1,2,1
770,745.0361818551985,18,1,1,2,1
2392,4955.036253527794,2,0,0,0,0
2434,1044.4550199679315,1,0,0,0,0
1185,628.4569596651294,5,1,0,1,1
4556,205.5301663283993,18,1,1,2,1
3386,3153.0681910801436,14,1,1,0,1
4118,3486.9841496189065,3,1,1,1,1
4844,67.72955345930419,18,0,0,2,0
2905,888.3461724777899,6,1,0,5,1
475,2771.600603158493,19,0,1,4,1
1083,5851.73520394441,20,0,1,2,1
2559,949.0461615012091,13,0,1,3,1
2048,4112.285069728152,6,0,1,2,1
2748,1000.8280479085876,19,1,0,3,1
976,395.66964064618605,13,0,0,1,0
1807,6.904190815438975,21,1,0,2,1
190,801.4955738272301,21,0,1,0,1
2735,951.1584503930255,4,1,0,2,1
3006,5805.1225380302,14,1,0,0,1
4659,461.52060153736363,11,0,1,3,1
1900,963.280410335252,16,0,1,3,1
1268,50.95180470081057,23,0,1,2,1
1529,2883.9501964746555,20,0,0,5,0
3203,4933.534014970046,4,1,0,5,1
3557,543.1467599253593,18,0,0,3,0
3891,1120.7150131219478,9,0,0,2,0
647,260.4739278457552,11,1,1,3,1
2889,1220.6858600718224,1,1,1,2,1
2436,286.2227573402456,16,1,0,1,1
601,1481.939302751752,4,1,0,3,1
2364,2653.2004132446964,14,1,1,1,1
2062,1611.9276251447056,19,0,0,3,0
242,562.6568086683759,22,0,0,2,0
2042,873.2800261799972,12,0,1,3,1
2825,2035.3889368657794,19,1,0,2,1
2613,1782.003510333925,10,0,0,2,0
1364,294.1593160113496,17,0,1,2,1
1479,3728.0084763779228,8,0,0,6,1
2557,1289.4338279946926,15,1,0,3,1
776,354.3557553075948,23,1,0,4,1
4015,262.1010423786406,14,0,1,2,1
35,6736.595592992166,3,0,0,2,0
3153,661.2768839656933,23,0,0,1,0
1956,4784.879297789849,11,0,0,0,0
1586,1057.2505325667228,12,1,0,3,1
3944,975.2647911806598,8,1,0,0,1
3074,2414.148348206784,14,1,0,2,1
1022,19.864903332435496,17,1,0,6,1
3462,825.2499224766588,19,1,1,4,1
2614,720.923386957552,21,0,0,3,0
3844,4051.3935423511452,6,1,0,2,1
1501,1506.3190205692229,20,1,1,6,1
4799,906.9071826756946,11,0,1,4,1
162,618.7086167702624,9,1,0,5,1
